,fdc_id,carbs_g,calories,fiber_g,protein_g,fat_g,food_name,avg_gram_weight
0,319877,,,,,19.0,Hummus,
1,319882,,,,,18.7,Hummus,
2,319892,,,,,16.6,Hummus,
3,319899,,,,,19.1,Hummus,
4,319908,,,,,18.2,Hummus,
5,319915,,,5.7,,,Hummus - NFY12140Q,
6,319928,,,,,18.0,Hummus,
7,319934,,,5.4,,,Hummus - NFY12141F,
8,319946,,,,,18.2,Hummus,
9,319951,,,5.5,,,Hummus - NFY1213ZX,
10,319967,,,,,14.8,Hummus,
11,319973,,,5.7,,,Hummus - NFY12143E,
12,319981,,,,,11.9,Hummus,
13,319993,,,,,15.2,Hummus,
14,320000,,,5.5,,,Hummus - NFY12141Z,
15,320013,,,,,18.8,Hummus,
16,320018,,,4.9,,,Hummus - NFY12142O,
17,320027,,,,,1.8,"MILK, 2% ",
18,320033,,,,,1.91,"MILK, 2% ",
19,320039,,,,,1.92,"MILK, 2% ",
20,320047,,,,,1.92,"MILK, 2% ",
21,320066,,,,,1.91,"MILK, 2% ",
22,320089,,,,,1.97,"MILK, 2% ",
23,320108,,,,,1.87,"MILK, 2% ",
24,320128,,,,,1.85,"MILK, 2% ",
25,320147,,,,,2.06,"MILK, 2% ",
26,320167,,,,,1.9,"MILK, 2% ",
27,320174,,,,,1.9,"MILK, 2% ",
28,320181,,,,,1.97,"MILK, 2% ",
29,320187,,,,,1.96,"MILK, 2% ",
30,320193,,,,,1.87,"MILK, 2% ",
31,320199,,,,,1.92,"MILK, 2% ",
32,320205,,,,,1.81,"MILK, 2% ",
33,320214,,,,,1.68,"MILK, 2% ",
34,320234,,,,,1.87,"MILK, 2% ",
35,320257,,,,,1.81,"MILK, 2% ",
36,320279,,,,,1.93,"MILK, 2% ",
37,320300,,,,,1.97,"MILK, 2% ",
38,320309,,,,,1.94,"MILK, 2% ",
39,320317,,,,,1.92,"MILK, 2% ",
40,320336,,,,,1.97,"MILK, 2% ",
41,320356,,,,23.4,3.46,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",
42,320383,,,,23.9,1.91,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",
43,320389,,,,23.5,2.81,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",
44,320391,,,,23.8,2.07,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",
45,320393,,,,23.8,3.3,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",
46,320395,,,,24.0,2.24,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",
47,320401,,,,23.9,3.01,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",
